Start Date,End Date,Num,Default Ordering,<15K,15K-55K,55K-90K,>90K,<20K,20K-40K,40K-60K,60K-80K,80K-100K,100K-120K,>120K,Original Model Ordering,<15K,15K-55K,55K-90K,>90K,<20K,20K-40K,40K-60K,60K-80K,80K-100K,100K-120K,>120K
2014-09-01,2014-10-31,1665,28.38023,35.08696,27.91935,29.15517,26.41818,28.22449,28.65217,30.02778,31.62791,25.52,24.02941,39.25,20.79087,27.826087,26.32258,15.396552,10.454545,31.14286,27.05797,15.888889,14.883721,12.52,11.352941,17
2014-07-02,2014-08-31,0,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-05-02,2014-07-01,0,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-02,2014-05-01,1095,19.90148,16.28571,19.30769,18.5102,26.28571,15.46809,19.10417,23.15625,18.54545,23,23.55556,29.28571,11.75369,15.642857,12.93407,10.571429,7.228571,13.6383,15.66667,8.875,11.818182,6,8.277778,8.857143
2013-12-31,2014-03-01,1313,32.97015,34.19048,33.48837,30.26786,35.10526,35.78378,33.73469,28.64516,31.59459,33.31579,34.43478,33.6,22.57214,28.47619,28.2907,19.964286,10.210526,28.2973,28.10204,27.419355,19.108108,15.473684,8.043478,15.4
2013-10-31,2013-12-30,1124,28.92157,30.33333,27.46667,25.26087,35.68421,28.48485,28.7619,22.14286,26.25,28.11111,36.22222,36,17.14706,17.4,16.17778,21.217391,14.315789,14.57576,20.80952,11.142857,25.375,13.333333,21.333333,5
2013-08-31,2013-10-30,1401,27.43478,16.30769,25.09589,32.8,27.26316,22.33333,24.69231,24.61111,32.08333,33.17857,23.94118,31.84615,15.5163,15.384615,15.21918,17,13.789474,15.24242,16.02564,11.833333,14.027778,24.285714,14.705882,6.076923
2013-07-01,2013-08-30,1232,31.91133,41.6,28.75758,35.51724,33.94595,29.7,31.09434,28.45161,37.2,34.37037,32,32.90909,19.12315,33.2,17.10101,22.103448,17.72973,18.53333,18.03774,21.387097,19.866667,22.259259,19.235294,8.909091
2013-05-01,2013-06-30,1384,28.46352,30.27273,30.03968,25.48889,26,28.40816,30.5,30.25,25.34615,27.84211,19.06667,30.77778,19.27468,19.409091,14.90476,29.088889,21.435897,18.46939,15.08537,15.375,34.730769,24.105263,27.333333,5
2013-03-01,2013-04-30,1350,32.96319,40.55556,31.625,33.19444,31.69231,35.53659,30.67925,38,31.58824,26.64286,35.14286,23.33333,19.43558,17.444444,17.98958,24.25,19.538462,16.17073,17.67925,20.928571,34.882353,16.214286,20.714286,5.666667
2012-12-30,2013-02-28,1131,32.45,37.7,34.46053,25.53846,31.53571,38.86207,30.74359,38.21053,26.0625,22.09524,41.63636,30.4,18.51429,30.8,16.96053,20.076923,16.892857,22.7931,16.97436,15,25.375,14.190476,22.909091,5.6
2012-10-30,2012-12-29,896,25.81481,31.75,21.87179,26.6,29.75,29.95455,20.66667,23.7619,23.47826,33.58824,19.5,30,13.9537,18.666667,19.46154,7.822222,14.333333,20.31818,17.94444,12.761905,9.695652,6.294118,19.5,22
2012-08-30,2012-10-29,953,31.08108,33,29.66667,31.37736,34.2,30.45455,32.64706,24.92857,33.53571,31.59091,16.66667,39,19.2027,27.136364,21.19048,13.981132,16.9,26.09091,20.58824,9.857143,19.214286,8.909091,13.666667,27
2012-06-30,2012-08-29,826,29.62774,27.88889,31.49333,27.31429,27.22222,32.53333,30.02326,31.58824,29.625,28.1,20.4,19.66667,21.23358,19.333333,21.02667,17.8,29.722222,22.66667,20.95349,16.823529,18.708333,18.3,29.1,39.666667
2012-04-30,2012-06-29,932,30.63889,25,32.2375,28.07895,30.52381,31.45833,31.90244,34.12,23.66667,28.78571,27.11111,52.5,18.02778,23.6,18.4875,10.973684,27.714286,26.29167,16.21951,16.96,9.222222,15.5,29,37.25
2012-02-29,2012-04-29,968,26.59259,31.95238,22.68571,29.91176,31.4,27.26829,21.97436,28.68421,27.41176,33.76923,25.5,31.5,16.0963,14.904762,18.07143,13.352941,14.1,17.21951,14.92308,20.473684,16.529412,8.076923,19.25,16.5
2011-12-30,2012-02-28,815,26.14912,25.30769,25.89706,31.78261,16,22.92857,26.65957,34.11111,26.30769,38.375,15.8,12.75,13.17544,9.692308,14.19118,13.695652,9.6,12,14.91489,9,10.153846,22,11.2,5
2011-10-30,2011-12-29,874,23.75,35.66667,25.13333,19.35294,13.92308,26.17241,26.27586,26.46667,20,12.375,16.28571,8,16.55,11.555556,16.41667,20.058824,15.615385,13.34483,16.13793,17.933333,24.9,20,9.285714,35
2011-08-30,2011-10-29,822,27.11579,23.2,28.62162,21.26923,36.23529,25.63333,28.3,26.33333,21.90909,31.33333,36.625,35,22.54737,18.666667,25.94595,21.769231,19.764706,23.86667,23.35,36.333333,21,10.888889,22,38
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,29.01654938,31.23827375,28.528755,28.30687938,29.18119875,29.60853938,28.58171688,29.3958175,27.98043125,29.31209188,26.52262313,30.40831375,18.32255875,20.84350525,19.23484625,18.03444844,17.00732575,20.43895813,19.05021688,17.44487681,19.85457169,15.77193975,18.66437619,18.06683425