Start Date,End Date,Num,Default Ordering,Purple,Blue,Orange,Green,Yellow,Brown,White,Black,Asian,Hispanic,American_Indian,Others,Original Model Ordering,Purple,Blue,Orange,Green,Yellow,Brown,White,Black,Asian,Hispanic,American_Indian,Others,In-cluster Ordering,Purple,Blue,Orange,Green,Yellow,Brown,White,Black,Asian,Hispanic,American_Indian,Others,No-Sanitarian Model Overall,Purple,Blue,Orange,Green,Yellow,Brown,White,Black,Asian,Hispanic,American_Indian,Others,No-Sanitarian Model Incluster,Purple,Blue,Orange,Green,Yellow,Brown,White,Black,Asian,Hispanic,American_Indian,Others,Color Model,Purple,Blue,Orange,Green,Yellow,Brown,White,Black,Asian,Hispanic,American_Indian,Others,Suppressed Sanitarian Model,Purple,Blue,Orange,Green,Yellow,Brown,White,Black,Asian,Hispanic,American_Indian,Others,Baseline Fairlogloss Model-DP-Overall-SanMaj,Purple,Blue,Orange,Green,Yellow,Brown,White,Black,Asian,Hispanic,American_Indian,Others,Baseline Fairlogloss Model-DP-Overall-SanMaj-C0.5,Purple,Blue,Orange,Green,Yellow,Brown,White,Black,Asian,Hispanic,American_Indian,Others,Baseline Fairlogloss Model-EqOpp-Overall-SanMaj,Purple,Blue,Orange,Green,Yellow,Brown,White,Black,Asian,Hispanic,American_Indian,Others,Baseline Zafar c0.001,Purple,Blue,Orange,Green,Yellow,Brown,White,Black,Asian,Hispanic,American_Indian,Others,Baseline Krishnaswamy Preds,Purple,Blue,Orange,Green,Yellow,Brown,White,Black,Asian,Hispanic,American_Indian,Others
2014-09-01,2014-10-31,1665,29.88649,29.24752,28.96507,30.53618,31.41547,30.06426,28.11017,30.61268,30.84253,27.28925,29.2591,32.19704,30.43264,29.88649,2.851485,12.79779,28.78289,41.0086,50.71888,57.79661,27.09073,32.24114,29.42783,34.15038,31.16906,28.09231,29.21321,28.24752,28.96507,29.53618,30.41547,29.06426,27.11017,28.23702,29.03667,28.17543,31.56633,30.31341,29.15499,29.88649,22.54455,25.4375,32.04276,34.14613,30.61847,36.98305,27.60481,30.43801,27.30776,35.1091,28.74655,28.76478,29.21321,28.24752,28.96507,29.53618,30.41547,29.06426,27.11017,27.73908,29.29743,27.52687,32.6964,28.0097,28.80977,29.21321,28.24752,28.96507,29.53618,30.41547,29.06426,27.11017,27.98373,30.18252,29.81933,30.52412,29.52304,28.56153,29.88649,24.38614,26.95404,30.85855,33.53009,30.90361,32.68644,28.49326,29.99288,28.47772,33.07079,31.24435,29.46497,29.88649,5.079208,13.04779,55.26974,32.91404,36.30924,40.84746,26.11177,31.8113,24.83242,38.41412,29.7673,27.24376,29.88649,19.71287,23.22426,39.67434,37.62464,27.40562,26.44068,28.00568,30.91304,27.3856,34.01275,27.33399,28.81911,29.88649,3.227723,12.63603,32.47368,39.55874,49.6747,55.20339,26.58287,32.93343,28.6826,35.06883,30.13333,27.83066,29.88649,31.40594,29.47978,28.52632,32.53295,29.56627,26.81356,30.11179,29.46702,28.15907,30.52051,35.09238,30.27873,29.88649,27.56436,26.45772,32.22697,32.56734,30.21687,33.02542,28.25559,29.53879,28.53088,33.8152,27.04283,29.30341
2014-07-02,2014-08-31,0,NaN,,NA,,,,,NA,,,,,,NaN,,NA,,,,,NA,,,,,,NaN,,NaN,,,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NA,,,,,NA,,,,,,,,NaN,,,,,NA,NA,NA,NA,NA,NA,,,NaN,,,,,NA,NA,NA,NA,NA,NA,NaN,,NA,,,,,NA,,,,,,NaN,,NA,,,,,NA,,,,,,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,,NA,,,,,NA,,,,,,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-05-02,2014-07-01,0,NaN,,NA,,,,,NA,,,,,,NaN,,NA,,,,,NA,,,,,,NaN,,NaN,,,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NA,,,,,NA,,,,,,,,NaN,,,,,NA,NA,NA,NA,NA,NA,,,NaN,,,,,NA,NA,NA,NA,NA,NA,NaN,,NA,,,,,NA,,,,,,NaN,,NA,,,,,NA,,,,,,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,,NA,,,,,NA,,,,,,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-02,2014-05-01,1095,19.78721,22.77333,20.01917,19.91781,18.46809,19.75393,19.13761,19.89238,18.69947,20.30508,19.52418,21.80166,19.84042,19.78721,1.72,7.351438,18.0411,24.42021,33.06283,40.18349,17.80678,22.28095,18.82382,21.88568,20.38406,19.50368,19.24475,21.77333,20.01917,18.91781,18.46809,18.75393,18.13761,18.38783,20.20755,18.10556,20.17103,14.91182,17.9236,19.78721,16.34667,17.62939,23.35616,18.67553,19.70157,23.24771,17.7688,22.56995,17.65985,21.85471,13.48119,18.28118,19.24475,21.77333,20.01917,18.91781,18.46809,18.75393,18.13761,17.84648,21.35651,17.79026,20.55585,13.41656,17.83567,19.24475,21.77333,20.01917,18.91781,18.46809,18.75393,18.13761,18.68164,20.88011,18.70831,18.75437,19.36922,18.54868,19.78721,18.09333,18.20447,22.30594,19.06915,19.58115,22.0367,18.54593,21.18815,18.17069,21.24335,14.83885,18.38713,19.78721,1.44,7.146965,38.13699,24.06915,21.22513,21.93578,18.19187,21.74768,17.44956,21.55808,16.71083,19.80902,19.78721,11.41333,15.09585,28.43379,24.98936,18.24084,15.38532,18.83572,21.15052,18.03123,20.57389,16.8036,19.3753,19.78721,1.76,7.364217,21.09589,22.73936,32.77487,37.38532,17.67746,22.87243,18.31089,21.83363,18.86943,19.11342,19.78721,20.92,18.94888,20.16438,17.91489,21.22513,21.36697,19.02225,20.72665,17.26242,21.58067,17.20752,18.78398,19.78721,21.62667,19.80511,19.60274,19.45745,20.50785,18.14679,19.25546,19.71817,20.25939,20.77799,14.83879,19.92681
2013-12-31,2014-03-01,1313,32.74486,33.46154,33.40686,32.76603,32.93947,30.20093,34.928,33.15241,32.26969,31.57774,32.83908,30.2303,32.10691,32.74486,5.064103,11.42157,26.97436,36.21579,50.82243,57.72,28.8264,38.46734,30.28993,37.40083,33.89808,30.44619,31.74638,33.46154,33.40686,29.76603,32.93947,30.20093,31.928,30.6978,33.28205,32.1267,32.61458,30.97867,30.81125,32.74486,28.10256,28.35784,35.17628,30.52632,34.8972,39.792,29.72584,37.06659,31.93216,36.03404,28.74483,30.65273,31.74638,33.46154,33.40686,29.76603,32.93947,30.20093,31.928,29.83676,34.48317,32.19997,33.45264,28.1401,30.34953,31.74638,33.46154,33.40686,29.76603,32.93947,30.20093,31.928,30.437,34.0085,32.41579,32.48826,30.39183,30.54794,32.74486,30.21795,30.73529,35.22756,29.92368,33.74299,38.272,30.90331,35.36166,32.0885,34.8317,31.87032,31.35956,32.74486,4.217949,14.7402,54.91346,32.75526,29.95794,29.336,30.42183,34.5233,28.89152,37.69958,28.37532,31.97958,32.74486,22.55128,28.86275,35.70513,41.44474,27.28505,20.952,33.64778,29.19806,33.36041,33.32712,35.20728,33.81907,32.74486,5.179487,11.28431,30.95833,34.03684,49.88318,56.16,28.5126,38.88775,29.56913,38.0112,33.18038,30.32625,32.74486,31.78205,30.40686,35.35577,29.81053,34.02804,37.368,31.86124,33.9982,30.71867,34.41239,33.93536,32.16037,32.74486,32.66667,31.0049,34.14103,31.06316,33.98598,35.136,31.26403,33.80794,33.47013,34.73927,29.60232,31.787
2013-10-31,2013-12-30,1124,26.98754,23,29.16981,28.38174,26.26693,27.3101,24.26724,26.72873,26.96276,26.39646,26.62444,22.52387,25.91872,26.98754,2.3,6.943396,17.84647,28.3506,40.77003,51.30172,27.48275,22.30837,28.3658,30.37933,18.03,26.07427,26.98754,23,29.16981,28.38174,26.26693,27.3101,24.26724,26.85146,25.76176,26.50881,28.75813,21.73781,26.64638,26.98754,19.8,23.66038,31.79253,21.37849,29.22997,32.49138,24.88404,26.15896,26.65704,32.19444,20.76695,25.80347,26.98754,23,29.16981,28.38174,26.26693,27.3101,24.26724,25.59394,26.24385,26.47125,30.84759,21.83037,26.0927,26.98754,23,29.16981,28.38174,26.26693,27.3101,24.26724,26.45662,28.64565,26.04205,26.04981,22.02361,26.30964,26.98754,20.88571,25.40881,29.13693,23.67729,30.85714,25.9569,26.90446,24.81382,27.4355,29.07965,20.78605,26.60501,26.98754,5.157143,20.61635,41.3278,24.749,27.32056,23.12069,23.61836,29.44251,25.18979,31.63083,17.05393,25.28322,26.98754,19.95714,20.12579,37.70539,28.22311,24.36934,22.17241,25.83356,25.52703,26.97441,29.69777,20.12239,25.30989,26.98754,2.328571,6.861635,22.51037,25.43825,40.01045,49.88793,26.64293,22.75916,28.21752,31.4381,17.95176,25.68049,26.98754,21.61429,29.33333,24.20747,27.28287,30.06969,24.52586,28.94482,24.0496,27.33226,25.85524,19.50602,27.84032,26.98754,22.98571,24.32704,30.25726,24.78088,27.67596,29.32759,26.68741,25.35442,27.75301,28.93035,21.61039,26.73683
2013-08-31,2013-10-30,1401,28.95717,30.77778,28.78409,27.93633,29.99143,28.81646,26.91667,29.47809,26.79169,26.34724,30.55451,25.09996,30.02529,28.95717,1.842593,9.083333,22.07865,33.16286,47.93987,55.42708,29.55668,28.04366,27.28838,29.11453,27.77959,27.78649,28.95717,30.77778,28.78409,27.93633,29.99143,28.81646,26.91667,27.99543,28.88742,29.14008,31.69396,33.24219,27.66504,28.95717,32.86111,29.91288,32.35581,25.37143,26.75949,32.79167,26.19756,31.3131,30.77147,34.19442,34.72087,26.84443,28.95717,30.77778,28.78409,27.93633,29.99143,28.81646,26.91667,26.943,29.88196,30.31283,33.2606,35.34342,27.50129,28.95717,30.77778,28.78409,27.93633,29.99143,28.81646,26.91667,27.78945,30.35965,28.90216,31.34843,31.32918,28.39852,28.95717,33.00926,28.98864,30.82397,26.48286,28.33228,30.19792,27.63898,29.59898,29.54151,31.98382,33.61649,27.39558,28.95717,8.888889,30.52273,40.94757,25.29714,26.19937,36.30208,26.59641,31.74064,30.71832,32.97485,24.00813,25.96153,28.95717,14.39815,26.96212,37.8427,36.47143,24.34177,13.90625,27.87532,27.80578,30.66445,31.84425,23.69073,27.16696,28.95717,1.87037,9.015152,27.85768,30.87429,46.83544,51.48958,28.75168,28.35572,28.06797,30.7474,27.9815,26.98963,28.95717,26.53704,31.06061,28.31835,27.38857,29.07278,33.01042,28.68351,30.43828,25.77551,30.92524,28.36252,28.18543,28.95717,27.21296,32.41288,30.51311,25.9,27.85443,31.86458,26.52829,31.04968,29.74816,34.08719,33.18166,27.38845
2013-07-01,2013-08-30,1232,32.11282,30.23077,30.84951,31.1087,32.52766,33.71692,32.62879,32.53548,33.23489,33.03066,30.63506,27.14338,31.22868,32.11282,3.615385,13.17961,24.98261,34.41702,46.55385,56.87879,31.84794,27.86389,34.27175,34.56808,29.45062,30.58677,32.11282,30.23077,30.84951,31.1087,32.52766,33.71692,32.62879,31.54943,32.13474,32.64077,33.1761,35.2845,31.29442,32.11282,29.48077,28.83981,36.36087,30.60426,30.79077,37.83333,30.57153,31.15322,32.53474,35.77711,32.27809,30.5561,32.11282,30.23077,30.84951,31.1087,32.52766,33.71692,32.62879,31.24851,31.02247,32.32058,34.68995,32.99979,30.66632,32.11282,30.23077,30.84951,31.1087,32.52766,33.71692,32.62879,31.07005,34.24956,32.07767,32.72585,38.14827,30.68546,32.11282,31.59615,27.8835,35.56957,31.44681,32.66154,32.93182,31.29683,31.84265,33.09311,33.50843,34.28318,31.01824,32.11282,6.913462,11.65049,55.12174,30.22128,37.12308,34.84091,30.45391,30.53554,35.26209,34.5534,26.01289,30.36484,32.11282,19.81731,35.04369,41.46522,38.8,27.00923,21.59091,31.6626,32.57153,31.17392,32.73685,31.58322,31.92556,32.11282,4.009615,13.00485,29.60435,32.7234,45.94462,53.30303,31.511,28.08726,34.11478,35.09446,29.38644,30.47884,32.11282,29.13462,29.91262,32.99565,31.38723,33.53538,34.14394,31.10013,34.11456,31.07187,33.98605,34.15757,31.80157,32.11282,28.31731,30.86408,36.5,30.8383,30.46154,35.74242,30.90615,29.73791,32.35669,35.60971,29.65257,31.23159
2013-05-01,2013-06-30,1384,29.55708,28.72043,29.05575,28.91818,28.80282,31.8,30.17143,29.50936,31.49301,29.64295,28.23963,28.17466,30.11705,29.55708,2.236559,10.72822,24.4697,35.21831,47.168,55.36429,29.1936,27.37705,28.48148,32.02987,28.36771,28.08576,29.48988,27.72043,29.05575,28.91818,28.80282,31.8,30.17143,28.96612,28.16862,29.41526,31.21406,29.85652,29.18434,29.55708,26.32258,28.50174,33.43333,26.71479,28.544,32.30714,27.541,29.0077,28.37634,33.42668,25.22216,27.86431,29.48988,27.72043,29.05575,28.91818,28.80282,31.8,30.17143,28.41003,27.56364,29.3815,32.51963,26.12458,28.63762,29.48988,27.72043,29.05575,28.91818,28.80282,31.8,30.17143,29.63052,26.54505,30.56769,30.99091,32.73248,29.09682,29.55708,29.73118,27.87456,31.91818,27.84155,31.236,27.80714,28.66556,28.60943,29.64949,31.53705,29.45156,29.08173,29.55708,7.623656,19.98955,41.78485,25.84859,34.876,32.94286,28.23619,28.56169,27.88037,32.91537,27.5216,26.95308,29.55708,14.6129,28.41463,37.52727,33.20423,26.404,21.27143,28.52584,28.39041,26.61798,32.89992,32.63458,27.6964,29.55708,2.204301,10.72125,27.63333,32.96479,47.624,51.7,28.6209,27.85746,28.34975,32.62476,28.34939,27.66231,29.55708,32.47312,28.43206,29.97273,28.66197,30.792,28.55714,28.1018,32.52313,28.66381,29.98482,32.4042,29.0727,29.55708,28.49462,29.52962,32.48182,26.17254,29.644,30.13571,28.50712,27.00476,30.18862,32.74664,24.4375,28.81412
2013-03-01,2013-04-30,1350,30.98815,32.625,33.69767,30.33212,30.81597,29.46753,30.05634,31.55454,29.22412,29.71914,31.81189,28.74446,31.19147,30.98815,4.675,11.37984,23.68248,33.49306,46.45455,56.90845,31.36537,30.53084,29.68589,31.47166,27.64081,27.95648,27.8,28.625,29.69767,30.33212,26.81597,25.46753,26.05634,26.22859,29.08387,27.92174,28.64634,28.40035,27.89946,30.98815,22.575,28.48837,33.24818,29.55903,29.8961,41.17606,28.34174,33.43843,28.41162,33.59065,28.11342,29.36465,27.8,28.625,29.69767,30.33212,26.81597,25.46753,26.05634,25.40014,28.88195,26.69506,30.47854,26.73176,27.36086,27.8,28.625,29.69767,30.33212,26.81597,25.46753,26.05634,27.99876,27.03702,28.6458,27.25156,28.56416,28.11224,30.98815,27.5375,28.36434,32.18248,29.44792,32.28896,35.69718,29.65892,32.32327,30.88857,31.59201,30.8229,30.51111,30.98815,18.75,13.57364,51.47445,28.375,30.7987,35.70423,28.22574,33.84479,28.71241,33.34404,26.11113,28.13134,30.98815,20.5,28.8876,38.87956,37.14583,26.84091,21.99296,30.24576,30.71034,29.0856,32.36443,25.86265,30.97677,30.98815,4.7125,11.34496,27.78102,31.375,45.83442,54.6831,30.66551,31.37189,29.3737,31.80815,27.44555,27.90392,30.98815,33.225,30.34884,28.03285,30.875,34.20779,29.83803,30.05647,32.96129,32.94123,30.08619,32.98639,31.09708,30.98815,28.025,30.60465,32.28832,30.24306,29.85714,34.80986,30.26452,31.29012,29.99914,32.34972,30.32841,30.41737
2012-12-30,2013-02-28,1131,30.30592,27.57576,30.77487,32.26066,30.90291,29.30233,27.72917,30.23785,31.51283,29.99343,29.76614,29.38827,30.52074,30.30592,2.348485,8.335079,19.83886,31.94175,49.97674,58.11458,29.95305,28.27563,29.4798,32.52704,36.46573,27.39109,29.79929,27.57576,27.77487,32.26066,30.90291,29.30233,27.72917,28.44339,28.07513,30.12939,32.53886,29.21189,29.41802,30.30592,20.22727,27.02618,33.67773,28.589,31.32171,39.14583,27.02872,31.23927,28.18137,35.18533,28.30827,28.00605,29.79929,27.57576,27.77487,32.26066,30.90291,29.30233,27.72917,27.03952,29.38815,28.65932,34.39536,26.91568,28.43096,29.79929,27.57576,27.77487,32.26066,30.90291,29.30233,27.72917,29.70955,28.1145,30.91782,30.3218,30.06572,30.2566,30.30592,22.78788,26.98429,32.01422,30.64725,31.74031,33.375,28.82517,28.81914,30.28123,33.23079,30.44428,29.38601,30.30592,35.19697,17.26178,44.85782,29.7411,26.46124,33.0625,28.94828,29.94637,30.87337,32.2415,27.83019,29.01721,30.30592,17.28788,26.71204,36.97156,40.39159,23.5,17.58333,29.31603,26.73092,29.78621,34.06362,24.04288,28.69955,30.30592,2.272727,8.371728,25.12322,30.45631,48.47674,55.29167,28.93706,28.81539,29.19705,33.76493,35.44166,26.96048,30.30592,21.89394,29.73822,28.25118,33.99676,31.29457,27.19792,30.40706,28.87279,31.02827,30.65807,27.88574,31.01071,30.30592,25.63636,31.02618,30.94787,25.26861,33.14341,39.26042,28.88894,33.4834,29.90072,30.67406,30.0473,30.06282
